7.369627,2.076115
6.414042,8.243148
5.228063,7.685008
4.412355,8.343685
5.725042,8.383793
7.600154,3.428337
4.133570,8.418549
1.929739,2.749303
1.803895,0.516975
1.438202,1.168419
5.129552,8.691850
5.212257,8.864007
7.241243,4.786684
6.317652,7.006895
4.429143,9.391575
3.953101,1.641124
1.005008,2.518218
6.397749,2.564970
5.732335,8.838068
4.354662,7.725684
8.202002,2.310298
6.451983,2.618546
2.768474,3.421850
5.023848,6.111585
4.920545,8.074256
5.928140,7.999462
7.924652,1.511558
2.033531,2.253237
7.427221,8.155022
1.872412,0.502647
1.180707,0.901125
9.373494,1.576714
2.873404,1.759370
3.448102,1.955852
8.390533,0.960849
5.206839,7.627820
1.287333,2.380890
4.716578,6.968857
4.252545,8.026418
5.009784,9.942185
1.084190,2.876012
10.240944,2.557852
9.301204,4.903153
8.249886,2.637734
2.041657,1.893677
1.254717,2.522946
3.226942,1.970093
7.749507,3.286946
1.261678,0.985338
8.647894,3.097050
5.687719,2.666722
2.087896,2.699825
7.953398,4.570101
3.274073,2.609272
5.695151,6.483926
6.130473,10.249574
7.928889,2.896797
3.084741,2.893355
8.643971,1.108851
8.783183,1.651553
7.233591,4.999380
4.235173,8.122741
1.888684,2.701984
9.844679,3.943474
11.164942,2.130271
1.808303,4.020267
2.488093,1.422463
3.696976,7.611363
4.825131,8.166315
3.668062,7.222658
9.399695,2.449518
9.398168,5.126548
4.467171,6.378688
2.273693,0.989056
6.088645,6.493176
1.373015,1.282629
9.506605,1.600520
4.667378,7.368953
5.188057,7.095779
6.036927,8.611440
8.791615,2.832893
1.877861,2.323146
5.068832,7.026082
2.782327,0.886778
8.350512,2.509152
3.660692,8.301948
7.363325,2.215637
4.393716,7.329983
4.487880,6.691800
1.783041,2.115885
5.421576,9.737697
3.976524,6.588620
2.118712,2.519378
6.235981,8.151277
3.892200,9.737426
2.871086,2.607567
7.863633,2.339164
2.979167,6.618231
8.345219,2.230325
5.824986,8.653206
3.195731,1.487141
0.158714,0.917521
7.874739,3.061182
1.848969,3.423321
8.616409,2.884021
8.046916,3.503198
4.488362,8.106323
2.885198,2.003181
7.056232,4.762016
2.286516,4.152795
2.555852,1.450074
8.317405,4.814188
7.778114,5.316171
2.580780,4.321409
1.372616,1.997690
2.111967,3.482769
3.745721,0.319084
2.097776,0.758711
2.638414,2.349885
2.002756,4.266010
8.329187,3.370054
11.330269,2.967659
